num_acc;senc;catv;occutc;obs;obsm;choc;manv;num_veh
201000000001;0;30;0;1;0;1;1;A01
201000000002;0;7;0;0;1;1;1;A01
201000000003;0;33;0;0;2;1;17;A01
201000000003;0;7;0;0;9;3;23;C03
201000000003;0;7;0;0;9;6;1;B02
201000000004;0;1;0;0;0;0;0;A01
201000000004;0;10;0;0;2;2;1;B02
201000000005;0;2;0;0;2;1;2;A01
201000000005;0;10;0;0;2;4;2;B02
201000000006;0;7;0;0;0;4;1;B02
201000000006;0;17;0;0;2;2;2;A01
201000000006;0;7;0;0;2;8;2;E05
201000000006;0;7;0;0;0;5;2;D04
201000000006;0;7;0;0;0;4;1;C03
201000000007;0;7;0;0;2;0;22;A01
201000000007;0;14;0;0;1;7;1;B02
201000000008;0;10;0;4;2;1;1;A01
201000000008;0;10;0;0;0;4;1;B02
201000000008;0;10;0;12;0;8;1;C03
201000000009;0;30;0;1;0;1;1;A01
201000000010;0;14;0;0;2;2;1;A01
201000000010;0;7;0;0;2;3;15;B02
201000000010;0;7;0;0;2;2;23;C03
201000000011;0;7;0;0;2;7;11;A01
201000000011;0;30;0;0;2;1;1;B02
201000000012;0;2;0;0;2;1;1;B02
201000000012;0;7;0;0;2;7;15;A01
201000000013;0;33;0;0;0;0;1;A01
201000000014;0;7;0;0;2;7;13;A01
201000000014;0;7;0;0;2;2;1;B02
201000000015;0;33;0;6;0;1;1;A01
201000000016;0;7;0;0;0;8;15;A01
201000000016;0;7;0;0;2;1;1;B02
201000000017;0;7;0;0;0;0;22;A01
201000000017;0;1;0;0;0;0;1;B02
201000000018;0;7;0;0;2;3;1;B02
201000000018;0;16;0;0;2;2;1;A01
201000000019;0;10;0;0;9;8;10;A01
201000000020;0;33;0;0;2;1;17;B02
201000000020;0;7;0;0;0;8;10;A01
201000000021;0;7;0;2;0;1;14;A01
201000000022;0;7;0;0;2;8;1;A01
201000000022;0;7;0;0;2;1;1;B02
201000000022;0;7;0;0;2;3;19;C03
201000000023;0;7;0;0;0;0;1;A01
201000000023;0;14;0;0;2;1;15;B02
