num_acc;senc;catv;occutc;obs;obsm;choc;manv;num_veh
200900000096;0;32;0;15;2;7;17;A01
200900000097;0;7;0;0;2;5;23;B01
200900000097;0;7;0;14;2;3;2;A01
200900000098;0;30;0;0;0;1;1;A01
200900000099;0;32;0;1;0;7;14;A01
200900000100;0;31;0;0;0;2;21;A01
200900000101;0;7;0;0;1;2;1;A01
200900000102;0;30;0;0;2;3;1;B01
200900000102;0;7;0;0;2;2;11;A01
200900000103;0;7;0;0;2;1;1;A01
200900000103;0;32;0;0;2;3;1;B01
200900000104;0;7;0;0;1;5;4;A01
200900000105;0;32;0;0;2;1;1;D01
200900000105;0;31;0;0;2;8;1;B01
200900000105;0;7;0;0;2;5;12;A01
200900000105;0;7;0;0;2;5;14;C01
200900000106;0;33;0;0;2;1;1;B01
200900000106;0;7;0;0;2;3;9;A01
200900000107;0;7;0;0;2;3;15;A01
200900000107;0;2;0;0;2;2;1;B01
200900000108;0;33;0;0;2;4;2;B01
200900000108;0;7;0;0;2;2;2;A01
200900000109;0;30;0;0;2;1;2;A01
200900000109;0;10;0;0;2;4;2;B01
200900000110;0;7;0;1;0;1;15;A01
200900000111;0;7;0;0;2;5;2;A01
200900000111;0;30;0;0;2;1;2;B01
200900000112;0;34;0;12;0;2;14;A01
200900000113;0;34;0;0;2;7;17;B01
200900000113;0;7;0;0;2;3;10;A01
200900000114;0;7;0;0;2;1;1;A01
200900000114;0;7;0;0;2;8;1;B01
200900000115;0;34;0;0;1;1;17;A01
200900000116;0;37;30;0;1;2;7;A01
200900000117;0;7;0;0;2;8;2;C01
200900000117;0;32;0;0;2;7;2;A01
200900000117;0;7;0;0;2;1;2;B01
200900000118;0;37;15;0;1;7;7;A01
200900000119;0;7;0;0;1;1;16;A01
200900000120;0;33;0;9;2;8;1;B01
200900000120;0;10;0;0;2;1;15;A01
200900000121;0;10;0;6;0;1;1;A01
200900000122;0;30;0;0;1;8;1;A01
200900000123;0;1;0;12;0;0;0;A01
200900000124;0;32;0;1;0;8;13;A01
200900000125;0;7;0;0;2;3;1;B01
200900000125;0;1;0;0;2;4;1;A01
200900000126;0;7;0;6;0;1;1;A01
200900000127;0;34;0;0;0;8;1;A01
200900000128;0;30;0;0;1;2;5;A01
200900000129;0;37;0;0;1;2;0;A01
200900000130;0;31;0;0;0;7;1;A01
200900000131;0;7;0;0;1;5;16;A01
200900000132;0;7;0;1;0;2;14;A01
200900000133;0;10;0;0;2;0;12;A01
200900000133;0;32;0;0;2;0;3;B01
200900000134;0;10;0;0;2;4;23;B01
200900000134;0;10;0;0;2;1;11;A01
200900000135;0;7;0;0;2;8;23;A01
200900000135;1;7;0;0;2;2;17;Z01
200900000136;0;31;0;0;2;2;1;B01
200900000136;0;7;0;0;2;2;15;A01
200900000137;1;7;0;0;1;2;1;Z01
200900000138;0;7;0;0;1;2;9;A01
200900000139;0;7;0;0;1;1;15;A01
200900000140;0;7;0;0;1;2;1;A01
200900000141;0;2;0;0;2;1;1;B01
200900000141;0;37;15;0;2;3;17;A01
200900000142;0;33;0;0;2;5;1;B01
200900000142;0;7;0;0;2;8;13;A01
200900000143;0;7;0;0;2;2;1;C01
200900000143;0;7;0;0;2;7;14;A01
200900000143;0;33;0;0;2;3;1;B01
200900000144;0;7;0;0;2;5;2;B01
200900000144;0;7;0;0;2;6;2;C01
200900000144;0;7;0;5;2;1;13;A01
200900000145;0;7;0;0;0;8;1;A01
200900000146;0;31;0;0;2;8;18;A01
200900000146;0;10;0;0;2;2;16;B01
200900000147;0;7;0;0;2;8;11;A01
200900000147;0;31;0;4;2;7;1;B01
200900000148;0;7;0;0;1;1;1;A01
200900000149;0;33;0;0;2;1;3;C01
200900000149;0;7;0;0;2;5;12;A01
200900000149;0;32;0;0;2;1;3;B01
200900000150;0;7;0;0;2;1;2;A01
200900000150;0;7;0;0;2;4;2;B01
200900000151;1;7;0;0;2;0;2;Z01
200900000151;0;7;0;0;2;8;2;B01
200900000151;0;7;0;0;2;8;2;A01
200900000152;0;10;0;2;0;1;14;A01
200900000153;0;7;0;0;2;4;2;B01
200900000153;0;7;0;0;2;1;2;A01
200900000154;0;10;0;0;2;7;16;A01
200900000154;0;2;0;0;2;8;16;B01
200900000155;0;31;0;0;0;0;1;A01
200900000156;0;7;0;0;2;1;15;A01
200900000156;0;7;0;0;2;3;1;B01
200900000157;0;34;0;0;1;1;1;A01
200900000158;0;7;0;0;2;2;12;A01
200900000158;0;32;0;0;2;4;23;B01
200900000159;0;14;0;0;2;3;11;A01
200900000159;0;33;0;0;2;2;17;B01
200900000160;0;1;0;0;1;1;7;A01
200900000161;0;10;0;0;2;6;2;B01
200900000161;0;30;0;0;2;1;2;A01
200900000162;0;30;0;0;2;7;1;B01
200900000162;0;7;0;0;2;2;1;A01
200900000163;0;32;0;1;2;2;17;A01
200900000163;0;7;0;0;2;3;15;B01
200900000164;0;7;0;0;2;3;1;A01
200900000164;0;7;0;0;2;1;1;B01
200900000165;0;10;0;0;2;1;2;B01
200900000165;0;32;0;0;2;0;21;A01
200900000166;0;7;0;0;1;2;15;A01
200900000167;0;7;0;0;2;6;22;A01
200900000167;0;1;0;0;2;1;17;B01
200900000168;0;7;0;0;2;1;1;A01
200900000168;0;7;0;0;2;8;1;B01
200900000169;0;1;0;1;0;7;1;B01
200900000169;0;7;0;0;2;3;22;A01
200900000170;0;2;0;0;2;1;17;A01
200900000170;0;32;0;0;2;3;1;B01
200900000171;0;1;0;0;0;0;1;A01
200900000172;0;30;0;0;0;8;21;A01
200900000173;1;7;0;0;1;6;4;Z01
200900000174;0;30;0;0;2;6;13;B01
200900000174;0;33;0;0;2;2;1;A01
200900000175;0;7;0;0;1;5;7;A01
200900000176;0;2;0;5;0;8;13;A01
200900000177;0;7;0;0;2;8;23;C01
200900000177;0;33;0;0;2;8;3;A01
200900000177;0;15;0;0;2;7;1;B01
200900000178;0;7;0;0;2;6;16;B01
200900000178;0;37;1;0;2;2;7;A01
200900000179;0;7;0;0;2;7;15;A01
200900000179;0;30;0;0;2;1;1;B01
200900000180;1;7;0;0;1;3;7;Z01
200900000181;0;7;0;0;1;1;1;A01
200900000182;0;31;0;0;2;8;1;A01
200900000182;0;1;0;0;2;3;11;B01
200900000183;0;7;0;14;0;1;1;A01
200900000184;0;30;0;12;0;2;14;A01
200900000185;1;7;0;0;1;0;1;Z01
200900000186;0;10;0;0;1;4;4;A01
200900000187;0;7;0;0;2;6;24;B01
200900000187;0;7;0;0;2;1;14;A01
200900000188;0;32;0;0;2;2;1;B01
200900000188;0;7;0;0;2;3;10;A01
200900000189;0;10;0;0;2;1;1;A01
200900000189;0;7;0;0;2;8;1;B01
200900000189;0;2;0;0;2;0;1;C01
200900000190;0;7;0;0;1;6;4;A01
200900000191;0;2;0;1;0;7;21;A01
200900000192;0;30;0;0;2;7;17;B01
200900000192;0;7;0;0;2;3;15;A01
200900000193;0;32;0;0;2;3;13;A01
200900000193;0;32;0;0;2;2;1;B01
200900000194;0;30;0;0;1;1;1;A01
200900000195;0;33;0;1;2;7;1;A01
200900000195;0;10;0;0;2;8;11;B01
200900000196;0;30;0;0;1;1;1;A01
200900000197;0;7;0;0;2;3;11;A01
200900000197;0;31;0;0;2;1;3;B01
200900000198;0;32;0;12;0;0;14;A01
200900000199;0;7;0;0;1;1;1;A01
200900000200;0;1;0;0;2;1;1;B01
200900000200;0;7;0;0;2;8;22;A01
200900000201;0;33;0;0;0;7;1;A01
200900000202;0;30;0;0;2;1;1;A01
200900000202;0;1;0;0;2;2;15;B01
200900000203;0;31;0;0;1;7;21;A01
200900000204;0;15;0;6;0;1;1;A01
200900000205;0;1;0;0;2;1;1;A01
200900000205;0;7;0;0;2;5;9;B01
200900000206;0;34;0;0;2;1;17;B01
200900000206;0;7;0;0;2;3;15;A01
200900000207;0;7;0;0;2;3;11;A01
200900000207;0;33;0;0;2;7;1;B01
200900000208;0;7;0;1;0;1;14;A01
200900000209;0;34;0;0;2;8;1;B01
200900000209;0;7;0;0;2;1;1;A01
200900000210;0;32;0;0;2;1;1;B01
200900000210;0;7;0;0;2;5;1;A01
200900000211;0;32;0;0;0;0;1;A01
200900000212;1;7;0;0;1;3;1;Z01
200900000213;0;33;0;0;2;1;1;A01
200900000213;2;7;0;0;2;8;11;Z01
200900000214;0;7;0;0;1;4;24;A01
200900000215;0;37;1;0;2;4;23;B01
200900000215;0;31;0;0;2;8;14;A01
200900000216;0;7;0;7;0;1;13;A01
200900000217;0;37;0;0;2;3;10;B01
200900000217;0;1;0;0;2;8;1;A01
200900000218;0;7;0;0;1;2;15;A01
200900000219;0;33;0;0;0;8;1;A01
200900000220;0;7;0;0;2;2;16;B01
200900000220;0;31;0;0;2;3;18;A01
200900000221;0;7;0;0;2;1;17;A01
200900000221;0;14;0;0;2;3;15;B01
200900000222;0;2;0;0;0;7;1;A01
200900000223;0;7;0;15;0;1;14;A01
200900000224;1;7;0;0;2;0;16;Z01
200900000224;0;37;1;0;2;3;1;A01
200900000225;0;2;0;0;2;1;1;B01
200900000225;0;7;0;0;2;7;1;A01
200900000226;0;7;0;0;2;3;1;B01
200900000226;0;33;0;0;2;5;12;A01
