num_acc;an;mois;jour;hrmn;lum;agg;int;atm;col;com;adr;gps;lat;long;dep
201400000083;14;4;18;1815;1;2;1;1;6;364;Rue Henri MILLEZ;M;0;0;590
201400000084;14;8;15;330;5;2;1;1;6;168;279 rue felix demesmay;M;5094600;337200;590
201400000085;14;9;7;1945;1;1;1;1;3;168;;M;0;0;590
201400000086;14;10;22;345;3;1;1;1;6;258;;M;0;0;590
201400000087;14;1;6;830;2;1;1;1;6;643;1, ARMENTIERES ROUTE D';M;5074180;296742;590
201400000088;14;1;17;745;5;1;3;1;6;611;;M;5069992;301122;590
201400000089;14;2;16;2100;5;1;1;1;6;482;;M;5071718;302158;590
201400000090;14;3;10;900;1;1;1;7;7;482;;M;0;0;590
201400000091;14;6;26;950;1;2;3;1;3;611;MESSINES RUE DE;M;0;0;590
201400000092;14;9;11;1000;1;1;1;1;6;611;;M;5067177;300340;590
201400000093;14;10;6;1115;1;1;1;1;6;611;YPRES RUE D';M;5069864;301465;590
201400000094;14;11;4;1415;1;1;1;1;3;252;;M;0;0;590
201400000095;14;4;30;1415;1;2;3;1;3;92;d630;M;0;0;590
201400000096;14;6;15;2230;2;1;3;1;3;192;;M;0;0;590
201400000097;14;10;15;1815;1;2;1;2;1;335;route de tournai;M;0;0;590
201400000098;14;2;26;1445;1;1;1;1;2;50;;M;0;0;590
201400000099;14;4;20;1945;1;1;1;1;6;218;;M;0;0;590
201400000100;14;5;5;1645;1;1;1;1;6;290;;M;0;0;590
201400000101;14;6;11;1215;1;1;1;1;6;50;;M;0;0;590
201400000102;14;6;23;1615;1;2;1;1;6;233;RUE DE LA PLACE;M;0;0;590
201400000103;14;8;2;1030;1;2;1;1;6;35;route de sains;M;0;0;590
201400000104;14;9;1;2015;1;2;1;1;7;78;ROUTE DE FELLERIES;M;0;0;590
201400000105;14;10;10;1115;1;2;9;1;7;36;rue des crapeaux;M;0;0;590
201400000106;14;10;28;2330;3;1;1;1;6;374;;M;0;0;590
201400000107;14;11;13;945;1;1;1;1;6;78;;M;0;0;590
201400000108;14;12;9;1600;1;1;1;8;1;218;;M;0;0;590
201400000109;14;2;2;1645;1;2;1;1;3;249;8 RUE DU 8 MAI 1945;M;0;0;590
201400000110;14;2;18;1845;5;2;1;3;6;249;Rue cousin CORBIER;M;0;0;590
201400000111;14;5;22;1145;1;2;1;1;6;249;rue Bouret;M;0;0;590
201400000112;14;5;25;1915;1;1;1;7;2;249;;M;0;0;590
201400000113;14;6;12;900;1;2;9;1;1;249;rue de la R?publique;M;0;0;590
201400000114;14;7;26;215;3;1;1;1;6;12;;M;0;0;590
201400000115;14;10;18;300;5;2;1;1;6;249;rue Th?ophile Legrand;M;0;0;590
201400000116;14;6;2;215;3;1;1;1;6;331;;M;0;0;590
201400000117;14;7;4;1700;1;2;1;1;6;331;RD43;M;0;0;590
201400000118;14;7;5;1800;1;1;1;2;6;556;;M;0;0;590
201400000119;14;5;1;1200;1;2;1;1;6;562;27 rue de la mairie;M;0;0;590
201400000120;14;4;30;2100;3;1;1;1;1;229;;M;0;0;590
201400000121;14;7;18;1900;1;2;1;1;3;445;rue des horbes;M;0;0;590
201400000122;14;8;9;1245;1;2;1;1;1;633;24 route  de moranrieux;M;5005898;416714;590
201400000123;14;3;11;1145;1;1;1;1;3;48;;M;0;0;590
201400000124;14;4;5;1515;1;2;1;1;6;322;Rue Dagniaux;M;0;0;590
201400000125;14;4;23;1730;1;1;2;1;3;552;;M;0;0;590
201400000126;14;11;27;2100;5;2;1;1;6;23;06 route nationale;M;0;0;590
201400000127;14;11;29;1145;1;1;1;1;7;593;;M;0;0;590
201400000128;14;12;27;900;2;1;1;6;6;132;;M;0;0;590
201400000129;14;1;29;1330;1;1;1;1;1;136;;M;0;0;590
201400000130;14;4;16;1030;1;1;1;1;1;136;;M;0;0;590
201400000131;14;5;21;1615;1;2;1;1;5;136;120 Chemin de Montay;M;0;0;590
201400000132;14;9;6;1700;1;2;1;1;1;136;FAUBOURG DE CAMBRAI;M;0;0;590
201400000133;14;9;26;1700;1;2;1;1;6;136;RUE MARECHAL MORTIER;M;0;0;590
201400000134;14;12;13;1030;1;1;1;2;1;136;;M;0;0;590
201400000135;14;12;17;1715;5;2;1;1;6;136;38 r Faubourg Cambrai;M;0;0;590
201400000136;14;1;13;2000;5;2;1;2;6;139;Rue Marliot;M;0;0;590
201400000137;14;1;28;1815;5;2;1;2;6;59;8 route nationale;M;0;0;590
201400000138;14;2;22;300;3;1;1;2;7;614;;M;0;0;590
201400000139;14;2;23;2245;3;1;1;1;6;139;;M;0;0;590
201400000140;14;3;6;1130;1;2;1;1;6;243;rue Roger Salengro;M;0;0;590
201400000141;14;3;26;815;1;2;1;1;3;139;2 rue Jean Moulin CAUDRY;M;0;0;590
201400000142;14;6;21;1500;1;2;1;1;6;75;6 rue leon gambetta;M;0;0;590
201400000143;14;7;22;1015;1;2;1;2;6;139;2 rue Jean Lebas;M;0;0;590
201400000144;14;9;10;1700;1;2;3;1;2;139;D643;M;0;0;590
201400000145;14;9;17;945;1;2;1;1;1;139;Rue Gambetta;M;0;0;590
