num_acc;an;mois;jour;hrmn;lum;agg;int;atm;col;com;adr;gps;lat;long;dep
201500000001;15;1;20;1515;1;2;1;1;3;52;54 RUE GHESQUIERE;M;0;0;590
201500000002;15;6;6;2045;1;2;1;1;1;670;25, rue anatole france;M;5054878;291778;590
201500000003;15;7;8;745;1;2;1;1;2;11;RUE NATIOANLE;M;0;0;590
201500000004;15;7;22;1945;1;2;1;1;1;477;rue Camille Desmoulins;M;0;0;590
201500000005;15;11;13;1415;1;2;1;1;6;52;113, rue Ghesquiиre;M;0;0;590
201500000006;15;1;28;2015;3;2;1;1;3;257;7 r du Pont de Pierres;M;5060813;286792;590
201500000007;15;6;4;2245;5;1;1;1;1;25;;M;0;0;590
201500000008;15;8;1;1945;1;1;1;1;1;257;;M;0;0;590
201500000009;15;10;1;530;3;1;1;1;3;25;;M;0;0;590
201500000010;15;3;1;2015;5;2;1;1;1;256;4B rue gambetta FRETIN;M;0;0;590
201500000011;15;4;18;1430;1;1;1;1;3;586;;M;0;0;590
201500000012;15;5;27;1345;1;2;1;1;1;256;21 rue du montdesainghin;M;0;0;590
201500000013;15;6;11;830;1;2;9;7;1;586;rue de l' hardiniйre;M;0;0;590
201500000014;15;7;6;100;5;2;3;1;3;586;D145 - Rue de la Quiиze;M;0;0;590
201500000015;15;7;7;1745;1;2;1;1;3;466;rue nationale;M;0;0;590
201500000016;15;8;16;1;3;1;1;1;6;586;;M;0;0;590
201500000017;15;3;28;845;1;2;1;2;2;408;rue de la mairie;M;0;0;590
201500000018;15;4;14;1715;1;2;1;1;2;452;CD354;M;0;0;590
201500000019;15;12;17;1830;4;2;1;1;3;408;614 rue du bouvincourt;M;0;0;590
201500000020;15;1;16;2315;3;1;1;2;5;130;;M;5089600;223800;590
201500000021;15;6;5;1445;1;1;2;1;3;576;;M;5097700;231400;590
201500000022;15;6;18;2330;3;1;9;1;7;402;;M;0;0;590
201500000023;15;7;29;1245;1;1;2;1;3;532;;M;0;0;590
201500000024;15;8;2;1645;1;2;1;1;1;647;rue de saint omer;M;5083400;221000;590
201500000025;15;10;25;1815;5;2;1;1;7;94;RUE JEAN VARLET;M;5094900;219900;590
