num_acc;catr;voie;v1;v2;circ;nbv;pr;pr1;vosp;prof;plan;lartpc;larrout;surf;infra;situ;env1
200800000083;3;147;0;;2;2;0;0;0;1;1;0;0;1;0;4;0
200800000084;3;725;0;;2;0;55;500;0;1;1;0;53;2;0;1;0
200800000085;2;147;0;;2;2;2;800;0;1;1;0;73;1;0;1;0
200800000086;3;2;0;;2;1;0;0;0;2;1;0;0;2;0;1;0
200800000087;4;0;0;;2;2;0;0;0;0;2;0;50;1;0;1;0
200800000088;3;8;0;;0;0;0;0;0;1;3;0;60;1;0;1;0
200800000089;3;709;0;;2;2;15;0;0;1;1;0;0;1;0;1;0
200800000090;3;732;0;;2;0;0;0;0;1;3;0;77;2;0;1;0
200800000091;2;10;0;;3;0;89;900;0;1;2;0;66;1;0;2;0
200800000092;3;719;0;;1;2;0;0;0;1;2;0;33;1;0;1;0
200800000093;3;740;0;;2;0;27;0;0;0;1;0;65;1;0;3;3
200800000094;3;40;0;;2;0;0;0;0;1;1;0;0;2;0;1;0
200800000095;3;109;0;;2;0;0;0;1;1;0;0;62;2;5;1;0
200800000096;3;142;0;;2;2;0;0;0;1;1;0;60;2;0;3;0
200800000097;3;730;0;;2;2;75;200;0;1;3;0;73;1;0;1;0
200800000098;3;730;0;;2;2;34;900;0;2;1;21;99;1;5;1;0
200800000099;3;252;0;;2;2;3;0;0;1;2;0;51;2;0;1;0
200800000100;3;158;0;E;2;2;27;800;0;1;1;0;60;1;0;3;0
200800000101;3;734;0;;2;2;0;0;1;1;1;0;0;1;0;1;0
200800000102;9;0;0;;2;2;0;0;2;1;3;0;51;2;0;3;0
200800000103;3;137;0;;2;2;76;100;0;1;1;0;75;1;0;1;0
200800000104;3;137;0;;3;2;93;25;3;1;1;0;76;1;0;2;0
200800000105;3;939;0;;2;0;0;0;0;4;2;0;60;2;0;1;0
200800000106;3;911;0;;2;0;0;0;0;1;1;5;50;1;0;4;0
200800000107;3;112;0;;2;2;0;0;0;1;1;0;45;1;0;1;0
