num_acc;catr;voie;v1;v2;circ;nbv;pr;pr1;vosp;prof;plan;lartpc;larrout;surf;infra;situ;env1
200600000001;2;0;0;;3;4;;;0;1;1;0;150;1;0;1;99
200600000002;3;0;0;;3;4;1;590;0;1;1;0;80;2;5;1;99
200600000003;4;0;0;;0;1;;;0;1;1;0;37;1;0;4;99
200600000004;4;0;0;;2;2;;;0;1;1;0;80;2;0;1;3
200600000005;3;0;0;;2;2;27;50;2;1;1;0;100;1;0;1;99
200600000006;3;0;0;;2;2;37;0;0;2;4;0;60;7;0;0;0
200600000007;4;0;0;;2;2;;;0;2;3;0;81;2;0;1;99
200600000008;4;0;0;;2;3;;;0;1;1;0;0;1;5;1;99
200600000009;9;0;0;;2;1;;;0;1;1;0;54;1;0;1;99
200600000010;2;0;0;;2;2;16;0;0;2;1;0;74;1;0;1;0
200600000011;2;0;0;;2;2;61;300;0;1;1;0;100;2;0;1;99
200600000012;4;0;0;;2;2;;;0;1;1;0;80;2;0;1;99
200600000013;4;0;0;;2;4;;;0;2;1;0;120;2;4;1;99
200600000014;4;0;0;;1;2;;;2;2;1;0;105;1;0;4;99
200600000015;4;0;0;;2;2;;;0;2;1;0;90;2;0;1;0
200600000016;4;0;0;;2;1;;;0;1;1;0;0;0;5;1;99
200600000017;4;0;0;;2;1;;;0;1;1;0;0;1;0;1;99
200600000018;2;0;0;;0;2;499;0;0;0;3;0;70;1;0;1;0
200600000019;4;0;0;;3;2;;;0;1;1;0;70;2;5;1;99
200600000020;2;0;0;;2;3;;;0;2;3;0;90;2;0;4;99
200600000021;4;0;0;;2;2;;;0;1;1;0;80;2;5;1;0
200600000022;6;0;0;;1;1;;;3;1;1;0;60;1;0;1;99
200600000023;4;0;0;;2;2;;;0;1;1;0;49;1;0;1;0
200600000024;4;0;0;;2;2;;;0;2;1;0;61;1;0;1;0
200600000025;4;0;0;;2;4;;;0;1;1;0;125;1;5;1;3
200600000026;4;0;0;;1;2;;;0;1;1;26;78;1;5;1;3
200600000027;4;0;0;;2;2;;;0;1;1;0;59;1;0;1;99
200600000028;4;0;0;;2;2;;;0;1;2;0;59;1;0;1;99
200600000029;4;0;0;;1;1;;;0;1;1;0;60;2;0;1;99
200600000030;3;0;0;;2;2;;;0;1;1;0;90;2;0;1;99
200600000031;4;0;0;;2;2;;;0;1;1;0;90;1;0;1;99
200600000032;3;0;0;;2;3;;;0;1;1;0;120;2;0;3;99
200600000033;3;0;0;;2;2;0;250;0;1;1;0;80;2;5;1;3
200600000034;4;0;0;;2;2;;;0;1;1;0;111;1;5;1;99
200600000035;3;0;0;;2;2;0;505;0;2;1;0;80;1;0;1;99
200600000036;4;0;0;;2;2;;;0;1;1;0;90;1;5;1;99
200600000037;4;0;0;;2;2;;;0;1;1;0;80;1;0;1;99
200600000038;2;0;0;;2;2;;;0;2;2;0;110;1;0;1;99
200600000039;4;0;0;;2;2;;;0;1;1;0;80;5;5;1;99
200600000040;3;0;0;;2;2;;;0;2;2;0;80;5;0;1;99
200600000041;4;0;0;;3;2;;;0;1;1;0;90;1;5;1;99
200600000042;2;0;0;;2;2;;;0;2;3;0;76;2;0;1;0
200600000043;4;0;0;;2;2;1;0;0;2;1;0;78;1;0;1;99
200600000044;3;0;0;;1;2;7;0;0;1;1;20;44;1;0;1;99
200600000045;4;0;0;;1;1;1;0;0;1;1;0;40;1;5;1;99
200600000046;3;0;0;;3;2;9;0;0;2;4;0;0;1;0;1;99
200600000047;4;0;0;;2;2;1;0;0;1;1;0;95;1;0;1;99
200600000048;4;91;0;;1;2;1;0;0;2;1;0;59;1;0;1;99
200600000049;2;85;0;;2;2;39;300;0;1;1;0;79;1;0;1;99
200600000050;2;85;0;;2;2;40;540;0;1;1;0;76;1;0;1;99
200600000051;2;85;0;;2;3;;;0;1;1;0;108;1;0;1;99
200600000052;6;85;0;;0;0;;;0;1;1;0;76;1;0;1;3
200600000053;4;0;0;;2;2;;;0;2;1;0;0;1;0;1;99
200600000054;4;0;0;;3;2;1;0;0;1;1;0;0;1;0;1;99
200600000055;3;0;0;;0;2;;;0;2;1;0;0;1;0;0;0
200600000056;4;0;0;;2;2;1;0;0;1;4;0;56;1;0;1;0
200600000057;4;0;0;;2;3;;;3;1;1;0;100;1;0;1;0
200600000058;4;0;0;;1;1;1;0;0;1;1;0;0;1;0;1;0
200600000059;3;0;0;;2;1;1;0;0;1;1;0;60;1;0;1;0
200600000060;4;0;0;;2;2;;;0;2;0;0;77;1;0;1;99
200600000061;4;0;0;;2;3;1;0;0;1;1;0;0;1;0;1;0
200600000062;3;0;0;;2;2;1;0;0;1;1;0;0;1;0;1;0
200600000063;4;0;0;;0;2;1;0;0;1;1;0;0;1;0;1;0
200600000064;4;0;0;;2;3;;;0;1;1;0;90;1;0;1;0
200600000065;4;0;0;;2;2;;;0;2;0;0;0;1;0;1;0
200600000066;4;0;0;;1;2;;;0;1;1;0;0;1;0;1;0
200600000067;4;0;0;;2;2;;;0;0;0;0;0;0;0;1;0
200600000068;4;0;0;;1;4;;;0;1;1;0;118;1;0;1;0
200600000069;4;0;0;;0;1;;;0;0;0;0;0;0;0;0;0
200600000070;4;0;0;;2;2;;;0;1;1;0;0;1;0;1;0
200600000071;4;0;0;;2;2;;;0;1;1;0;0;1;0;1;0
200600000072;4;0;0;;2;2;;;0;2;1;0;0;1;0;1;0
200600000073;4;0;0;;3;2;;;0;1;1;0;0;1;0;1;0
200600000074;4;0;0;;2;3;;;0;1;1;0;83;1;0;1;0
200600000075;4;0;0;;2;2;;;0;1;1;0;68;0;0;1;0
200600000076;4;0;0;;2;2;;;0;1;1;0;60;2;0;1;0
200600000077;4;0;0;;2;0;;;0;2;1;0;0;1;0;0;0
200600000078;4;0;0;;2;2;;;0;1;3;0;80;1;0;1;0
200600000079;4;0;0;;2;2;;;0;0;0;0;0;1;0;1;0
200600000080;4;0;0;;2;4;;;0;1;1;0;0;1;0;1;0
200600000081;4;0;0;;2;2;;;1;1;0;0;0;1;0;1;0
200600000082;4;0;0;;2;2;;;0;0;0;0;0;1;0;1;0
200600000083;2;0;0;;2;2;;;0;0;0;0;0;1;0;1;0
200600000084;4;0;0;;2;2;;;0;0;0;0;0;1;0;1;0
200600000085;4;0;0;;2;2;1;0;0;1;3;0;64;7;0;1;99
200600000086;4;0;0;;1;1;;;0;2;1;0;87;1;0;1;99
200600000087;4;0;0;;2;3;;;0;1;1;0;100;1;0;1;0
200600000088;4;0;0;;1;1;;;0;1;1;0;480;1;5;1;99
200600000089;4;0;0;;1;1;;;0;2;1;0;40;1;0;1;99
200600000090;4;0;0;;3;4;;;0;1;1;0;130;1;0;1;0
200600000091;2;0;0;;3;4;;;0;2;1;22;160;1;0;1;99
200600000092;2;0;0;;2;4;;;0;1;1;0;130;1;0;1;3
200600000093;3;0;0;;2;2;;;0;1;1;0;68;1;5;1;3
200600000094;2;0;0;;2;4;;;0;2;1;0;138;1;0;1;99
200600000095;4;0;0;;1;1;;;0;1;1;0;70;1;0;1;0
200600000096;3;0;0;;2;2;;;0;1;1;0;67;1;0;1;99
200600000097;4;0;0;;2;2;;;0;2;1;0;70;1;0;1;0
200600000098;4;0;0;;2;2;;;0;2;1;0;79;1;0;1;99
200600000099;4;0;0;;3;4;;;0;1;1;10;130;1;0;1;0
200600000100;4;0;0;;1;1;;;0;2;1;0;40;1;0;1;99
200600000101;2;0;0;;2;2;;;0;1;1;10;100;1;0;1;0
200600000102;2;0;0;;2;4;;;0;2;1;0;138;1;0;1;3
200600000103;4;0;0;;2;2;;;0;1;1;0;90;0;0;1;0
200600000104;2;0;0;;2;2;;;0;1;1;0;90;1;0;1;99
200600000105;2;0;0;;2;3;;;0;1;1;0;80;1;0;1;0
200600000106;2;0;0;;3;2;;;0;1;1;11;74;1;0;1;0
200600000107;4;0;0;;1;1;;;0;1;1;0;50;1;0;1;99
200600000108;2;0;0;;2;3;;;0;1;1;0;100;1;0;1;0
200600000109;4;0;0;;1;2;;;0;2;2;11;64;1;1;1;0
200600000110;4;0;0;;2;5;;;0;1;1;0;0;1;5;1;99
200600000111;4;0;0;;3;2;;;0;2;1;10;92;1;5;1;99
200600000112;3;0;0;;2;2;;;0;1;3;0;76;1;0;1;99
200600000113;4;0;0;;2;2;;;0;1;1;0;68;1;0;1;99
