num_acc;catr;voie;v1;v2;circ;nbv;pr;pr1;vosp;prof;plan;lartpc;larrout;surf;infra;situ;env1
200700000001;4;12;0;;2;2;0;0;0;1;1;0;59;1;0;1;3
200700000002;3;917;0;;2;2;0;0;2;1;1;0;100;2;0;1;0
200700000003;3;54;0;;2;0;0;0;0;1;0;0;0;0;0;0;0
200700000004;3;916;0;;2;2;0;0;1;0;1;0;70;1;0;1;0
200700000005;3;928;0;;2;0;0;0;0;1;1;0;40;1;0;1;0
200700000006;3;947;0;;2;2;0;0;0;1;1;0;74;1;0;1;0
200700000007;3;933;0;;2;0;2;0;0;1;3;0;60;1;0;1;0
200700000008;3;222;0;;2;2;0;0;0;1;0;0;60;1;0;1;0
200700000009;3;941;0;;2;2;0;0;1;1;2;0;60;2;0;1;0
200700000010;4;0;0;;2;2;0;0;0;1;1;0;90;1;0;1;0
200700000011;3;951;0;;2;2;0;0;0;2;1;0;56;2;0;1;0
200700000012;3;33;0;;2;2;23;200;0;1;2;0;50;2;0;3;0
200700000013;3;959;0;;2;0;16;200;0;0;3;0;77;2;6;1;0
200700000014;3;938;0;;2;2;0;0;1;3;1;0;80;2;5;1;0
200700000015;3;953;0;;2;2;0;0;1;1;1;0;70;1;0;1;0
200700000016;3;934;0;;2;1;0;0;0;1;1;0;0;2;0;1;0
200700000017;2;2;0;;2;2;0;0;0;0;1;0;75;1;0;1;0
200700000018;9;0;0;;2;2;0;0;0;1;0;0;71;1;0;1;0
200700000019;3;939;0;;2;3;183;500;0;1;1;13;140;2;0;1;0
200700000020;3;42;0;;2;2;0;0;0;1;1;0;75;1;0;0;0
200700000021;3;188;0;;2;2;2;200;0;1;1;0;65;1;0;1;0
200700000022;3;916;2;;2;2;0;0;0;1;1;0;50;2;0;1;0
200700000023;3;234;0;;2;2;7;800;0;1;1;0;62;2;0;1;0
200700000024;3;231;0;;2;2;2;200;0;1;2;0;60;1;0;3;0
200700000025;3;191;0;;2;2;0;0;0;2;1;0;60;7;0;3;0
200700000026;3;113;0;;2;2;113;50;0;2;1;0;74;2;0;1;0
200700000027;3;215;0;;2;0;0;0;0;3;1;0;70;2;0;1;0
